Symbol	gene_class
VSIG4	act_t_cell
VSIR	act_t_cell|diff_t_cell
VTCN1	act_t_cell
WAS	act_t_cell
WASHC1	act_t_cell
WDFY4	act_t_cell
WNT1	act_t_cell|diff_t_cell
WNT3A	act_b_cell
WNT4	act_t_cell|diff_t_cell
WNT5A	act_macrophage_cell
WWP1	act_t_cell|diff_t_cell
XBP1	diff_b_cell|act_t_cell|act_b_cell|diff_t_cell
XCL1	act_t_cell
XRCC4	act_t_cell|act_b_cell|diff_t_cell
YWHAZ	act_mast_cell
ZAP70	act_t_cell|diff_t_cell
ZBTB1	diff_b_cell|act_t_cell|act_b_cell|diff_naturalkiller_cell|diff_t_cell|act_naturalkiller_cell
ZBTB16	act_t_cell|diff_t_cell
ZBTB32	act_t_cell
ZBTB7A	diff_b_cell|act_b_cell
ZBTB7B	act_t_cell|diff_t_cell
ZC3H12A	act_t_cell|diff_t_cell
ZC3H12D	act_t_cell
ZC3H8	act_t_cell|diff_t_cell
ZEB1	act_t_cell|diff_t_cell
ZFP35	act_t_cell|diff_t_cell
ZFP36L1	diff_b_cell|act_t_cell|act_b_cell|diff_t_cell
ZFP36L2	diff_b_cell|act_t_cell|act_b_cell|diff_t_cell
ZFP608	act_t_cell|diff_t_cell
ZFP609	act_t_cell|diff_t_cell
ZFP683	act_t_cell|diff_naturalkiller_cell|diff_t_cell|act_naturalkiller_cell
ZMIZ1	act_t_cell|diff_t_cell
ZNF117,ERV3-1	erv
ZNF160,ERVV-2	erv
ZNHIT1	act_t_cell
ZP3	act_t_cell
