,1_XGB,3_ExtraTrees,7_XGB,9_ExtraTrees,13_XGB,15_ExtraTrees,19_XGB,21_ExtraTrees,25_XGB,27_ExtraTrees,31_XGB,33_ExtraTrees,37_XGB,39_ExtraTrees,43_XGB,45_ExtraTrees,49_XGB,51_ExtraTrees,55_XGB,57_ExtraTrees,MEAN,MEDIAN
217787_s_at,0.038461536,0.0,0.038461536,0.0,0.038461536,0.0,0.038461536,0.0,0.038461536,0.6890522347258277,0.038461536,0.0,0.038461536,0.0,0.038461536,0.43322531480383913,0.038461536,0.0,0.038461536,0.10399739509677937,0.08054451531584837,0.038461536169052124
232114_at,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.590750755817165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07953753779085825,0.0
1556229_at,0.15384614,0.0,0.15384614,0.0,0.15384614,0.0,0.15384614,0.0,0.15384614,0.025186676137542864,0.15384614,0.0,0.15384614,0.0,0.15384614,0.0,0.15384614,0.0,0.15384614,0.0,0.0781824061449814,0.0781824061449814
226084_at,0.15384614,0.0,0.15384614,0.0,0.15384614,0.0,0.15384614,0.0,0.15384614,0.0,0.15384614,0.0,0.15384614,0.0,0.15384614,0.0,0.15384614,0.0,0.15384614,0.0,0.07692307233810425,0.07692307233810425
1552263_at,0.15384614,0.0,0.15384614,0.0,0.15384614,0.0,0.15384614,0.0,0.15384614,0.0,0.15384614,0.0,0.15384614,0.0,0.15384614,0.0,0.15384614,0.0,0.15384614,0.0,0.07692307233810425,0.07692307233810425
1552325_at,0.15384614,0.0,0.15384614,0.0,0.15384614,0.0,0.15384614,0.0,0.15384614,0.0,0.15384614,0.0,0.15384614,0.0,0.15384614,0.0,0.15384614,0.0,0.15384614,0.0,0.07692307233810425,0.07692307233810425
1568997_at,0.15384614,0.0,0.15384614,0.0,0.15384614,0.0,0.15384614,0.0,0.15384614,0.0,0.15384614,0.0,0.15384614,0.0,0.15384614,0.0,0.15384614,0.0,0.15384614,0.0,0.07692307233810425,0.07692307233810425
1552266_at,0.15384614,0.0,0.15384614,0.0,0.15384614,0.0,0.15384614,0.0,0.15384614,0.0,0.15384614,0.0,0.15384614,0.0,0.15384614,0.0,0.15384614,0.0,0.15384614,0.0,0.07692307233810425,0.07692307233810425
244046_at,0.15384614,0.0,0.15384614,0.0,0.15384614,0.0,0.15384614,0.0,0.15384614,0.0,0.15384614,0.0,0.15384614,0.0,0.15384614,0.0,0.15384614,0.0,0.15384614,0.0,0.07692307233810425,0.07692307233810425
1554706_at,0.15384614,0.0,0.15384614,0.0,0.15384614,0.0,0.15384614,0.0,0.15384614,0.0,0.15384614,0.0,0.15384614,0.0,0.15384614,0.0,0.15384614,0.0,0.15384614,0.0,0.07692307233810425,0.07692307233810425
203676_at,0.15384614,0.0,0.15384614,0.0,0.15384614,0.0,0.15384614,0.0,0.15384614,0.0,0.15384614,0.0,0.15384614,0.0,0.15384614,0.0,0.15384614,0.0,0.15384614,0.0,0.07692307233810425,0.07692307233810425
205104_at,0.15384614,0.0,0.15384614,0.0,0.15384614,0.0,0.15384614,0.0,0.15384614,0.0,0.15384614,0.0,0.15384614,0.0,0.15384614,0.0,0.15384614,0.0,0.15384614,0.0,0.07692307233810425,0.07692307233810425
1559124_at,0.15384614,0.0,0.15384614,0.0,0.15384614,0.0,0.15384614,0.0,0.15384614,0.0,0.15384614,0.0,0.15384614,0.0,0.15384614,0.0,0.15384614,0.0,0.15384614,0.0,0.07692307233810425,0.07692307233810425
203522_at,0.0,0.0650135976244429,0.0,0.8111260295468901,0.0,0.0,0.0,0.20872822005050767,0.0,0.0,0.0,0.0,0.0,0.4458744777397852,0.0,0.0,0.0,0.0,0.0,0.0,0.0765371162480813,0.0
228401_at,0.038461536,0.6141730832459417,0.038461536,0.0,0.038461536,0.0,0.038461536,0.0,0.038461536,0.0,0.038461536,0.0,0.038461536,0.0,0.038461536,0.0,0.038461536,0.5028554253033916,0.038461536,0.0,0.07508219351199272,0.038461536169052124
204692_at,0.038461536,0.8586827714899824,0.038461536,0.0,0.038461536,0.0,0.038461536,0.0,0.038461536,0.0,0.038461536,0.0,0.038461536,0.0,0.038461536,0.0,0.038461536,0.0,0.038461536,0.25431315913247143,0.07488056461564876,0.038461536169052124
206726_at,0.0,0.0,0.0,0.0,0.0,0.4032668482568157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5066415192316579,0.0,0.5859436697019614,0.07479260185952175,0.0
1556945_a_at,0.0,0.0,0.0,0.3928820980795493,0.0,0.0,0.0,0.0,0.0,0.5208920396901795,0.0,0.0,0.0,0.5779792380776722,0.0,0.0,0.0,0.0,0.0,0.0,0.07458766879237004,0.0
205900_at,0.0,0.0,0.0,0.15705915608698295,0.0,0.0,0.0,0.0,0.0,0.5035324486154079,0.0,0.0,0.0,0.0,0.0,0.8278185309943162,0.0,0.0,0.0,0.0,0.07442050678483536,0.0
215537_x_at,0.0,0.48983326660866683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9955124911391794,0.07426728788739231,0.0
217745_s_at,0.0,0.0,0.0,0.4333403899321577,0.0,0.6820451312265808,0.0,0.0,0.0,0.32711370297537756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07212496120670579,0.0
238729_x_at,0.07692307,0.0,0.07692307,0.0,0.07692307,0.0,0.07692307,0.0,0.07692307,0.0,0.07692307,0.0,0.07692307,0.0,0.07692307,0.0,0.07692307,0.66670668104628,0.07692307,0.0,0.07179687022136612,0.07692307233810425
218337_at,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5105443201808877,0.0,0.9146410741807436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07125926971808157,0.0
235971_at,0.0,0.0,0.0,0.3884388245049547,0.0,0.42700391616572925,0.0,0.0,0.0,0.0,0.0,0.6030708607123261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0709256800691505,0.0
224906_at,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3913481274013678,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06956740637006839,0.0
219471_at,0.0,0.35893979733908743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3459316807497223,0.0,0.0,0.0,0.39088236634377094,0.0,0.2854186029042368,0.0,0.0,0.0,0.0,0.06905862236684088,0.0
213367_at,0.0,0.0,0.0,0.6557847852515243,0.0,0.0,0.0,0.0,0.0,0.27504328996640026,0.0,0.44918461229413414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06900063437560293,0.0
206655_s_at,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31584697919015037,0.0,0.0,0.0,0.6848278180854513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37868989115916646,0.06896823442173841,0.0
202705_at,0.0,0.0,0.0,0.39487235293189754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39904117068995154,0.0,0.0,0.0,0.0,0.0,0.533137631316348,0.0,0.0,0.06635255774690985,0.0
239062_at,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7095812184972333,0.0,0.5920711838670105,0.0,0.0,0.0,0.0,0.0650826201182122,0.0
209661_at,0.0,0.3116529819068269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9842474850629149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0647950233484871,0.0
235644_at,0.0,0.587514255722345,0.0,0.0,0.0,0.0,0.0,0.18959301944150583,0.0,0.0,0.0,0.0,0.0,0.21926035422136633,0.0,0.2987549142334719,0.0,0.0,0.0,0.0,0.06475612718093446,0.0
238694_at,0.0,0.49225081225888984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7982944098348389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06452726110468644,0.0
206135_at,0.0,0.0,0.0,0.3071920163443681,0.0,0.42744237105711735,0.0,0.5460126242769033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06403235058391944,0.0
223046_at,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6062733920117945,0.0,0.6732132433173432,0.0,0.0,0.06397433176645688,0.0
203589_s_at,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38564035608348324,0.0,0.581707026553097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29997346755692256,0.06336604250967515,0.0
223402_at,0.0,0.34078854885490195,0.0,0.5723896097723336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33952526735236954,0.0,0.0,0.0,0.0,0.06263517129898025,0.0
213469_at,0.0,0.0,0.0,0.44131835833128297,0.0,0.44974468282710545,0.0,0.35827063678889304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062466683897364074,0.0
212489_at,0.0,0.12335211672403829,0.0,0.2684668678505546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39960591849800375,0.0,0.0,0.0,0.0,0.0,0.429855837116059,0.06106403700943278,0.0
235733_at,0.0,0.0,0.0,0.0,0.0,0.8082297604296843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4019032552053741,0.0,0.0,0.0,0.0,0.0,0.0,0.06050665078175292,0.0
230545_at,0.0,0.0,0.0,0.973304159053483,0.0,0.0,0.0,0.0,0.0,0.23338599479580852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06033450769246458,0.0
1552726_at,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58523220897837,0.0,0.0,0.0,0.607628275006601,0.0,0.0,0.05964302419924855,0.0
219863_at,0.0,0.0,0.0,0.0,0.0,0.8805694346448125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28051212940144715,0.05805407820231299,0.0
225783_at,0.0,0.0,0.0,0.0,0.0,0.1750348345605586,0.0,0.0,0.0,0.0,0.0,0.48810625941343,0.0,0.0,0.0,0.0,0.0,0.4933728398599924,0.0,0.0,0.05782569669169905,0.0
212669_at,0.115384616,0.0,0.115384616,0.0,0.115384616,0.0,0.115384616,0.0,0.115384616,0.0,0.115384616,0.0,0.115384616,0.0,0.115384616,0.0,0.115384616,0.0,0.115384616,0.0,0.057692307978868484,0.057692307978868484
1255_g_at,0.115384616,0.0,0.115384616,0.0,0.115384616,0.0,0.115384616,0.0,0.115384616,0.0,0.115384616,0.0,0.115384616,0.0,0.115384616,0.0,0.115384616,0.0,0.115384616,0.0,0.057692307978868484,0.057692307978868484
1562317_at,0.115384616,0.0,0.115384616,0.0,0.115384616,0.0,0.115384616,0.0,0.115384616,0.0,0.115384616,0.0,0.115384616,0.0,0.115384616,0.0,0.115384616,0.0,0.115384616,0.0,0.057692307978868484,0.057692307978868484
1552564_at,0.115384616,0.0,0.115384616,0.0,0.115384616,0.0,0.115384616,0.0,0.115384616,0.0,0.115384616,0.0,0.115384616,0.0,0.115384616,0.0,0.115384616,0.0,0.115384616,0.0,0.057692307978868484,0.057692307978868484
228999_at,0.0,0.5919994458494928,0.0,0.5607170917928638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05763582688211784,0.0
201005_at,0.0,0.3550214078411558,0.0,0.0,0.0,0.7819573033103655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056848935557576065,0.0
215078_at,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8291360092112768,0.0,0.0,0.0,0.0,0.0,0.27514186199712265,0.0,0.0,0.05521389356041997,0.0
241725_at,0.07692307,0.0,0.07692307,0.0,0.07692307,0.0,0.07692307,0.32115740483742583,0.07692307,0.0,0.07692307,0.0,0.07692307,0.0,0.07692307,0.0,0.07692307,0.0,0.07692307,0.0,0.05451940641092341,0.07692307233810425
209626_s_at,0.038461536,0.0,0.038461536,0.0,0.038461536,0.0,0.038461536,0.0,0.038461536,0.697539591001979,0.038461536,0.0,0.038461536,0.0,0.038461536,0.0,0.038461536,0.0,0.038461536,0.0,0.05410774763462502,0.038461536169052124
212021_s_at,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6565437911181197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4128725699889982,0.0,0.0,0.0534708180553559,0.0
230932_at,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24857784083208292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.811602246218472,0.0,0.0,0.0,0.0,0.05300900435252774,0.0
220588_at,0.0,0.0,0.0,0.0,0.0,0.46268763761914133,0.0,0.0,0.0,0.5961452478912044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052941644275517286,0.0
203717_at,0.0,0.0,0.0,0.3183542637820196,0.0,0.7353911671598004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052687271547091,0.0
230756_at,0.0,0.5629096096748191,0.0,0.46669093680752055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05148002732411698,0.0
215117_at,0.0,0.0,0.0,0.0,0.0,0.32796648700254455,0.0,0.0,0.0,0.5159995634801195,0.0,0.18397908395874707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05139725672207056,0.0
232255_at,0.0,0.14515540595867096,0.0,0.0,0.0,0.16373908456808603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7125429810364127,0.0,0.0,0.051071873578158476,0.0
210791_s_at,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23988801938343635,0.0,0.557314139805337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22423179691212328,0.05107169780504482,0.0
229194_at,0.0,0.0,0.0,0.5941149516976487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4241671819260651,0.0,0.0,0.0,0.0,0.05091410668118569,0.0
217865_at,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6244286389938322,0.0,0.0,0.0,0.0,0.0,0.38719479726489364,0.05058117181293629,0.0
209931_s_at,0.0,0.5298978206468159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4809377759615754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05054177983041956,0.0
222912_at,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3666592525600109,0.0,0.0,0.0,0.0,0.0,0.6424356019677689,0.0,0.0,0.05045474272638899,0.0
203693_s_at,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6296109265060753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3765269830851945,0.05030689547956348,0.0
214211_at,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5899807159941929,0.0,0.4123371762478839,0.0,0.0,0.0,0.0,0.0,0.0,0.05011589461210384,0.0
202552_s_at,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.05,0.0
206752_s_at,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0
236863_at,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0
213503_x_at,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05,0.0
212788_x_at,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0
209195_s_at,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5700511430822099,0.0,0.0,0.0,0.4269496920032996,0.0,0.0,0.0,0.0,0.0,0.0,0.04985004175427547,0.0
41657_at,0.0,0.26170486505249885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46876508065783956,0.0,0.0,0.0,0.2649990578769008,0.04977345017936196,0.0
229463_at,0.07692307,0.0,0.07692307,0.0,0.07692307,0.0,0.07692307,0.0,0.07692307,0.0,0.07692307,0.0,0.07692307,0.0,0.07692307,0.0,0.07692307,0.0,0.07692307,0.22382187891759303,0.049652630114931776,0.07692307233810425
239952_at,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.457763618649324,0.0,0.0,0.0,0.0,0.0,0.5350251989515132,0.0,0.0,0.049639440880041866,0.0
