,ID,pred,method,target,run
90,GSM207937,0.23688855600909217,NaiveBayes,Genotype: primary tumor,0
91,GSM207937,0.32826144499807536,SVM,Genotype: primary tumor,0
92,GSM207937,0.2449292841096248,MLNN,Genotype: primary tumor,0
93,GSM207937,0.02892029484558816,GBM,Genotype: primary tumor,0
94,GSM207937,0.20129448175430298,DNN,Genotype: primary tumor,0
95,GSM207937,0.38974956243391456,RVM,Genotype: primary tumor,0
96,GSM207937,0.4605196308703467,AdaBoost,Genotype: primary tumor,0
97,GSM207937,0.10251328349113464,XGB,Genotype: primary tumor,0
98,GSM207937,0.10167216117216117,RandomForest,Genotype: primary tumor,0
99,GSM207938,0.18010245310245307,RandomForest,Genotype: primary tumor,0
100,GSM207938,0.057351936405878746,LR,Genotype: primary tumor,0
101,GSM207938,0.07926979321773643,GBM,Genotype: primary tumor,0
102,GSM207938,0.10630962997674942,XGB,Genotype: primary tumor,0
103,GSM207938,0.17898817360401154,DNN,Genotype: primary tumor,0
104,GSM207938,0.46047508425991346,AdaBoost,Genotype: primary tumor,0
105,GSM207938,0.07702570465119211,SVM,Genotype: primary tumor,0
106,GSM207938,0.25950610111155525,RVM,Genotype: primary tumor,0
107,GSM207938,0.30836057818890683,ExtraTrees,Genotype: primary tumor,0
108,GSM207938,0.24256931111825725,MLNN,Genotype: primary tumor,0
109,GSM207938,0.013004181892872266,NaiveBayes,Genotype: primary tumor,0
110,GSM207939,0.2425077435864579,MLNN,Genotype: primary tumor,0
111,GSM207939,0.1783238798379898,DNN,Genotype: primary tumor,0
112,GSM207939,0.06304615174660377,SVM,Genotype: primary tumor,0
113,GSM207939,0.03333333333333333,RandomForest,Genotype: primary tumor,0
114,GSM207939,0.045586140991021956,LR,Genotype: primary tumor,0
115,GSM207939,0.30677327660160525,ExtraTrees,Genotype: primary tumor,0
116,GSM207939,0.053419459611177444,XGB,Genotype: primary tumor,0
117,GSM207939,0.04767364027376727,GBM,Genotype: primary tumor,0
118,GSM207939,0.008805521892553814,NaiveBayes,Genotype: primary tumor,0
119,GSM207939,0.44565465462578,AdaBoost,Genotype: primary tumor,0
120,GSM207939,0.24348905640931878,RVM,Genotype: primary tumor,0
121,GSM207940,0.35456641044558646,ExtraTrees,Genotype: primary tumor,0
122,GSM207940,0.4605196308703467,AdaBoost,Genotype: primary tumor,0
123,GSM207940,0.3585429679991826,RVM,Genotype: primary tumor,0
124,GSM207940,0.10917216117216116,RandomForest,Genotype: primary tumor,0
125,GSM207940,0.10251328349113464,XGB,Genotype: primary tumor,0
126,GSM207940,0.0452634665709195,GBM,Genotype: primary tumor,0
127,GSM207940,0.24008972289580685,SVM,Genotype: primary tumor,0
