ID,mean,median,std
GSM207929,0.19641412387470486,0.13846348010773443,0.21262450528009147
GSM207930,0.2226653486571116,0.1830293937166543,0.22929081792948844
GSM207931,0.20919443012590086,0.17516147261272513,0.21918198730105298
GSM207932,0.14958398730832656,0.024640394482026443,0.2173274588290258
GSM207933,0.15358557055600303,0.03435628949643642,0.21549362820979914
GSM207934,0.17069494150678993,0.07934151677815497,0.20957236750822153
GSM207935,0.19267046715688585,0.12765832757450293,0.21085184900166667
GSM207936,0.16578074490062195,0.070114757777966,0.2104064581513368
GSM207937,0.19281606964794973,0.13201567266371558,0.2114085584170415
GSM207938,0.16428836181520706,0.059323281584467244,0.21078930080493966
GSM207939,0.1690186728162951,0.06627336782977203,0.21087166346612438
GSM207940,0.17156246274314918,0.08347639053884885,0.20947055762979547
GSM207941,0.15348022447096094,0.032155211778119884,0.21584522523203856
GSM207942,0.15736879538187906,0.04545597245106035,0.21357745472042378
GSM207943,0.15143301611126866,0.027316541272737707,0.21633045681916577
GSM207944,0.15454163729548273,0.039202049022059954,0.21443279472667756
GSM207945,0.1505705477854807,0.018828369983783552,0.21709659151653599
GSM207946,0.15668252033703828,0.03972218711293425,0.2137529173624535
GSM207947,0.2099361822028209,0.1620180727579879,0.2196624279739435
GSM207948,0.17171017751520284,0.07750278609555604,0.20923967043005795
GSM207949,0.15913288804824433,0.04896041912211399,0.21245333342627037
GSM207950,0.1558123293378893,0.045170451964294006,0.2138457203156427
GSM207951,0.16950931487000273,0.06732044545912359,0.21021754773191578
GSM207952,0.19242122177667537,0.1249184439408146,0.2119660913193488
GSM207953,0.15771968547940537,0.04769316184661757,0.21364464409254794
GSM207954,0.16625082898304686,0.06400697085270578,0.2098096225800868
GSM207955,0.16132085337162155,0.04222979640018944,0.2129622912275216
GSM207956,0.18058586854245176,0.08399952690149404,0.21012615607959376
GSM207957,0.16557918448775177,0.06463762164705447,0.21065544111860335
GSM207958,0.16410909292666134,0.062482633364192484,0.21105279279786582
GSM207959,0.18517652905536036,0.11747570243143445,0.20990046531877482
GSM207960,0.9203808845711737,0.9900094300769522,0.10472999869836415
GSM207961,0.9538683594361995,0.995791999619515,0.07456001675614579
GSM207962,0.9532431677072406,0.9980197744813393,0.07616824846555453
GSM207963,0.9544491915874808,0.9930950052007339,0.07416024529387734
GSM207964,0.9535327748146732,0.9931423548663264,0.07420006638863634
GSM207965,0.9581407650407735,0.993242157313066,0.07413707017603445
GSM207966,0.9551103468575153,0.997677414848928,0.07540329246283374
GSM207967,0.8741533198764468,0.9915457738105408,0.19089934451561008
GSM207968,0.9539703786934159,0.9931348839102068,0.0741033751422459
GSM207969,0.9542016699277859,0.9931222013176029,0.07469956166094614
GSM207970,0.9582191395591924,0.9976709144667926,0.07467418097275778
GSM207971,0.9528323382948056,0.9933376106392858,0.0746411219622858
GSM207972,0.9375240118905891,0.991580811726011,0.08260502194269974
GSM207973,0.9505938964637277,0.993562143217126,0.07712910053852107
GSM207974,0.9468188472853777,0.9927890392716471,0.07654005537336907
GSM207975,0.9517317769828997,0.9929249327811962,0.07515692169742542
GSM207976,0.9274632473687081,0.9921116027508188,0.09502666241631964
GSM207977,0.94832809251767,0.9925679825315273,0.07523951932225974
GSM207978,0.9537380717662838,0.9954360373040918,0.07457725639454811
GSM207979,0.9532483598530785,0.99768862488706,0.07494134482651608
GSM207980,0.958725356467751,0.9930949454306184,0.07405376242889555
GSM207981,0.953643056704168,0.9931317836639952,0.07411679308340277
GSM207982,0.9563740235235537,0.9934568496801208,0.07393461424720027
GSM207983,0.9505763214472948,0.9926892055811545,0.07436472637730247
GSM207984,0.9471088818051483,0.9929373760253661,0.07598177117669642
GSM207985,0.9545840966506496,0.9959665414461795,0.07446935105236663
GSM207986,0.9569571629190723,0.9958700672760814,0.07443718708303278
GSM207987,0.9508430901667163,0.9943309052058059,0.07501078539985007
GSM207988,0.9500988838616473,0.992513362790016,0.07493124721296278
GSM207989,0.9571789063484777,0.9967948076457926,0.07515358413687609
GSM207990,0.9497282641405429,0.9930780982772506,0.07505279833950426
GSM207991,0.9565698545033392,0.9938844656108747,0.07408205303201926
GSM207992,0.9557059270357527,0.9931436596325118,0.07395383359649639
GSM207993,0.9603549845095145,0.9978644655163131,0.07483779348672094
GSM207994,0.8481520716161846,0.98826692709332,0.21846768377211123
GSM207995,0.9492186673153077,0.9931111678356277,0.07518018750219588
GSM207996,0.957559025323792,0.9978884748493344,0.07457008806243469
GSM207997,0.9554056297632909,0.9964716806717074,0.07448311403234745
GSM207998,0.9380859024023238,0.9936590877605833,0.08331164292106856
GSM207999,0.9270961207469137,0.9924686167268095,0.09707880474432648
GSM208000,0.9564454345285605,0.9933538058616651,0.07402882540981331
GSM208001,0.9524021889079967,0.9966864602510049,0.07491760883368566
GSM208002,0.9535144125435527,0.998163458748538,0.0755756158302722
GSM208003,0.9502941414936389,0.9977801362580142,0.07832462111914132
GSM208004,0.9582923766073353,0.9986673502030854,0.07475409973869537
GSM208005,0.8933581350611532,0.9907717556686437,0.16033795260985118
GSM208006,0.9052112524467087,0.9925685303194796,0.13036271237115618
GSM208007,0.9013797176833925,0.991159016333957,0.13517691161611747
GSM208008,0.9392316473673409,0.9923282504007144,0.08128966297406592
GSM208009,0.956073521935034,0.9949623845649624,0.07447538201323436
GSM208010,0.9459154643762107,0.9930552729120556,0.07710592423916302
GSM208011,0.9526069321020317,0.993997869513387,0.07441019014873904
